Name,Amount of episodes,Duration,Rating
Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,9.14
Gintama°,TV (51 eps),Apr 2015 - Mar 2016,9.08
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,9.08
Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,9.08
Spy x Family,TV (12 eps),Apr 2022 -,9.06
Gintama',TV (51 eps),Apr 2011 - Mar 2012,9.05
Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,9.05
Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,9.05
Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,9.04
Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,9.04
Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,9.03
Gintama.,TV (12 eps),Jan 2017 - Mar 2017,8.99
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (12 eps),Apr 2022 - Jun 2022,8.97
3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,8.96
Gintama,TV (201 eps),Apr 2006 - Mar 2010,8.95
Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,8.95
Violet Evergarden Movie,Movie (1 eps),Sep 2020 - Sep 2020,8.95
Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,8.93
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,8.91
Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,8.90
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,8.88
Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,8.88
Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,8.87
Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,8.86
Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,8.85
Monster,TV (74 eps),Apr 2004 - Sep 2005,8.83
Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,8.81
Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,8.81
Kingdom 4th Season,TV (26 eps),Apr 2022 -,8.81
Kingdom 3rd Season,TV (26 eps),Apr 2020 - Oct 2021,8.80
Kizumonogatari III: Reiketsu-hen,Movie (1 eps),Jan 2017 - Jan 2017,8.80
Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,8.80
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),Oct 2016 - Dec 2016,8.79
Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,8.78
Sen to Chihiro no Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,8.78
Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,8.76
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,8.75
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,8.75
Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,8.74
Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,8.74
Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,8.74
Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,8.73
86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,8.72
Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,8.71
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,8.71
Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,8.71
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,8.71
Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,8.70
Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,8.70
Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,8.69
Jujutsu Kaisen (TV),TV (24 eps),Oct 2020 - Mar 2021,8.69
Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,8.68
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,8.68
Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,8.68
Mushishi,TV (26 eps),Oct 2005 - Jun 2006,8.67
Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,8.67
Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,8.67
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,8.67
Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,8.66
Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,8.66
Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,8.65
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,8.65
Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,8.65
One Piece,TV (? eps),Oct 1999 -,8.64
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,8.64
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,8.64
Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,8.64
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,8.63
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,8.62
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,8.62
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,8.62
Death Note,TV (37 eps),Oct 2006 - Jun 2007,8.62
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,8.62
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,8.60
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,8.59
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,8.59
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,8.59
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,8.58
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,8.58
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,8.58
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,8.58
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,8.57
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,8.57
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,8.57
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,8.57
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,8.55
Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,8.55
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,8.55
Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,8.55
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,8.54
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,8.54
Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,8.54
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,8.54
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,8.54
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,8.54
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,8.53
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,8.53
Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,8.53
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,8.53
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,8.52
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,8.52
